year,first_tx,last_tx
2009,0,32708
2010,32709,218013
2011,218014,2119778
2012,2119779,10572828
2013,10572829,30216069
2014,30216070,55479789
2015,55479790,101153812
2016,101153813,183780435
2017,183780436,287843664
2018,287843665,369239300
2019,369239301,489022947
2020,489022948,601576444
2021,601576445,9999999999999
